Vardas               Pavarde              Galutinis (vid.)     Galutinis (med.)    
Vardas83042          Pavarde83042         4.35                 6.00                
Vardas83044          Pavarde83044         2.75                 3.20                
Vardas83050          Pavarde83050         2.10                 3.10                
Vardas83051          Pavarde83051         2.75                 3.20                
Vardas83053          Pavarde83053         4.25                 5.20                
Vardas83056          Pavarde83056         4.80                 5.60                
Vardas83059          Pavarde83059         4.65                 5.20                
Vardas83061          Pavarde83061         3.75                 4.80                
Vardas83073          Pavarde83073         1.85                 1.90                
Vardas8308           Pavarde8308          4.80                 6.10                
Vardas83084          Pavarde83084         4.75                 5.20                
Vardas83089          Pavarde83089         3.85                 4.50                
Vardas83095          Pavarde83095         4.80                 6.40                
Vardas83098          Pavarde83098         2.65                 4.00                
Vardas83099          Pavarde83099         2.80                 4.00                
Vardas83100          Pavarde83100         3.00                 3.50                
Vardas83103          Pavarde83103         3.35                 3.90                
Vardas83105          Pavarde83105         2.40                 3.10                
Vardas83106          Pavarde83106         3.45                 3.90                
Vardas83107          Pavarde83107         2.25                 3.10                
Vardas83108          Pavarde83108         3.50                 4.70                
Vardas83109          Pavarde83109         3.15                 3.30                
Vardas8311           Pavarde8311          3.40                 4.50                
Vardas83111          Pavarde83111         3.60                 5.30                
Vardas83112          Pavarde83112         2.10                 2.80                
Vardas83113          Pavarde83113         2.15                 2.80                
Vardas83114          Pavarde83114         4.65                 5.30                
Vardas83118          Pavarde83118         5.00                 5.90                
Vardas83119          Pavarde83119         4.40                 4.60                
Vardas8312           Pavarde8312          2.75                 3.80                
Vardas83122          Pavarde83122         3.30                 4.70                
Vardas83123          Pavarde83123         3.20                 4.40                
Vardas83124          Pavarde83124         1.80                 2.20                
Vardas83127          Pavarde83127         4.80                 5.30                
Vardas83130          Pavarde83130         2.65                 3.70                
Vardas83132          Pavarde83132         2.65                 2.60                
Vardas83133          Pavarde83133         4.75                 6.10                
Vardas83134          Pavarde83134         3.55                 4.50                
Vardas8314           Pavarde8314          2.15                 2.50                
Vardas83141          Pavarde83141         2.80                 2.90                
Vardas83143          Pavarde83143         3.90                 4.80                
Vardas83144          Pavarde83144         3.45                 3.90                
Vardas83145          Pavarde83145         4.80                 4.40                
Vardas83146          Pavarde83146         3.90                 4.80                
Vardas83147          Pavarde83147         3.95                 4.20                
Vardas83148          Pavarde83148         3.45                 3.90                
Vardas8315           Pavarde8315          4.80                 5.80                
Vardas83152          Pavarde83152         4.95                 5.60                
Vardas83153          Pavarde83153         3.40                 4.20                
Vardas83155          Pavarde83155         3.75                 4.80                
Vardas83157          Pavarde83157         3.65                 4.80                
Vardas83158          Pavarde83158         4.25                 5.70                
Vardas8316           Pavarde8316          3.90                 5.10                
Vardas83162          Pavarde83162         4.95                 5.80                
Vardas83163          Pavarde83163         4.20                 4.90                
Vardas83164          Pavarde83164         2.30                 3.10                
Vardas83165          Pavarde83165         2.75                 4.00                
Vardas83166          Pavarde83166         4.75                 5.60                
Vardas83168          Pavarde83168         3.35                 3.60                
Vardas83170          Pavarde83170         2.95                 3.50                
Vardas83171          Pavarde83171         3.20                 4.40                
Vardas83174          Pavarde83174         4.20                 4.90                
Vardas83176          Pavarde83176         3.70                 5.30                
Vardas83179          Pavarde83179         2.85                 3.50                
Vardas83181          Pavarde83181         3.15                 4.70                
Vardas83186          Pavarde83186         4.45                 5.80                
Vardas83188          Pavarde83188         2.85                 3.70                
Vardas8319           Pavarde8319          3.75                 4.50                
Vardas83191          Pavarde83191         3.50                 4.50                
Vardas83193          Pavarde83193         4.55                 5.80                
Vardas83194          Pavarde83194         3.85                 5.10                
Vardas83195          Pavarde83195         2.70                 3.50                
Vardas83196          Pavarde83196         3.25                 3.80                
Vardas83197          Pavarde83197         4.75                 5.80                
Vardas832            Pavarde832           1.45                 1.90                
Vardas8320           Pavarde8320          3.75                 5.10                
Vardas83202          Pavarde83202         3.80                 4.80                
Vardas83203          Pavarde83203         3.60                 3.90                
Vardas83204          Pavarde83204         3.00                 4.60                
Vardas83205          Pavarde83205         2.05                 2.50                
Vardas83206          Pavarde83206         3.75                 4.00                
Vardas83208          Pavarde83208         4.00                 5.40                
Vardas83210          Pavarde83210         3.65                 4.50                
Vardas83211          Pavarde83211         2.85                 3.20                
Vardas83214          Pavarde83214         3.25                 4.40                
Vardas83221          Pavarde83221         3.35                 4.40                
Vardas83222          Pavarde83222         4.10                 5.40                
Vardas83223          Pavarde83223         2.20                 2.50                
Vardas83225          Pavarde83225         4.30                 4.60                
Vardas83226          Pavarde83226         3.90                 4.80                
Vardas83228          Pavarde83228         2.25                 3.40                
Vardas83232          Pavarde83232         3.65                 5.10                
Vardas83233          Pavarde83233         4.40                 5.20                
Vardas83234          Pavarde83234         3.80                 4.80                
Vardas83235          Pavarde83235         3.50                 4.20                
Vardas83238          Pavarde83238         4.35                 5.20                
Vardas83239          Pavarde83239         1.90                 1.90                
Vardas83240          Pavarde83240         4.15                 5.10                
Vardas83242          Pavarde83242         3.00                 3.50                
Vardas83246          Pavarde83246         3.70                 4.50                
Vardas83248          Pavarde83248         2.30                 3.70                
Vardas83249          Pavarde83249         2.20                 3.10                
Vardas8325           Pavarde8325          5.00                 6.40                
Vardas83251          Pavarde83251         3.45                 4.70                
Vardas83252          Pavarde83252         2.40                 3.10                
Vardas83253          Pavarde83253         4.80                 5.60                
Vardas83254          Pavarde83254         2.30                 3.40                
Vardas8326           Pavarde8326          4.15                 4.90                
Vardas83262          Pavarde83262         3.65                 4.50                
Vardas83263          Pavarde83263         2.85                 3.70                
Vardas83267          Pavarde83267         2.45                 3.10                
Vardas83268          Pavarde83268         4.15                 5.40                
Vardas83269          Pavarde83269         4.05                 4.20                
Vardas8327           Pavarde8327          4.15                 4.90                
Vardas83270          Pavarde83270         5.00                 6.40                
Vardas83271          Pavarde83271         3.20                 3.30                
Vardas83281          Pavarde83281         4.05                 4.30                
Vardas83282          Pavarde83282         4.20                 4.90                
Vardas83284          Pavarde83284         2.90                 3.80                
Vardas83288          Pavarde83288         2.35                 3.40                
Vardas83291          Pavarde83291         3.30                 4.40                
Vardas83292          Pavarde83292         2.30                 3.40                
Vardas83296          Pavarde83296         2.65                 3.40                
Vardas83297          Pavarde83297         3.25                 3.50                
Vardas833            Pavarde833           3.30                 3.30                
Vardas8330           Pavarde8330          3.60                 4.20                
Vardas83300          Pavarde83300         3.85                 4.80                
Vardas83302          Pavarde83302         2.60                 4.00                
Vardas83307          Pavarde83307         3.70                 4.20                
Vardas83312          Pavarde83312         4.90                 6.40                
Vardas83313          Pavarde83313         1.95                 2.20                
Vardas83315          Pavarde83315         3.00                 4.60                
Vardas83316          Pavarde83316         2.75                 4.30                
Vardas83318          Pavarde83318         2.10                 2.80                
Vardas83321          Pavarde83321         4.65                 5.80                
Vardas83325          Pavarde83325         3.90                 5.30                
Vardas83328          Pavarde83328         3.10                 3.30                
Vardas8333           Pavarde8333          1.95                 2.80                
Vardas83330          Pavarde83330         2.80                 3.80                
Vardas83332          Pavarde83332         2.15                 2.80                
Vardas83335          Pavarde83335         4.40                 5.50                
Vardas83336          Pavarde83336         3.35                 3.90                
Vardas83339          Pavarde83339         4.55                 5.50                
Vardas83341          Pavarde83341         4.00                 5.70                
Vardas83344          Pavarde83344         3.15                 3.60                
Vardas83345          Pavarde83345         4.60                 5.50                
Vardas83354          Pavarde83354         2.30                 2.80                
Vardas83355          Pavarde83355         4.90                 5.80                
Vardas83361          Pavarde83361         4.60                 6.10                
Vardas83367          Pavarde83367         4.20                 4.30                
Vardas83368          Pavarde83368         4.40                 4.40                
Vardas83369          Pavarde83369         3.80                 5.10                
Vardas83372          Pavarde83372         2.55                 4.00                
Vardas83373          Pavarde83373         2.65                 4.00                
Vardas83374          Pavarde83374         2.85                 3.70                
Vardas83377          Pavarde83377         4.95                 6.10                
Vardas83379          Pavarde83379         4.25                 4.90                
Vardas8338           Pavarde8338          3.10                 4.10                
Vardas83381          Pavarde83381         3.80                 4.80                
Vardas83382          Pavarde83382         4.25                 4.90                
Vardas83383          Pavarde83383         3.05                 2.70                
Vardas83386          Pavarde83386         2.55                 2.80                
Vardas83387          Pavarde83387         3.60                 4.50                
Vardas8339           Pavarde8339          3.55                 4.20                
Vardas83392          Pavarde83392         4.90                 5.80                
Vardas83393          Pavarde83393         3.30                 5.00                
Vardas83394          Pavarde83394         2.55                 3.70                
Vardas83395          Pavarde83395         3.25                 4.70                
Vardas83396          Pavarde83396         2.85                 3.50                
Vardas83398          Pavarde83398         2.50                 3.40                
Vardas83402          Pavarde83402         2.10                 2.50                
Vardas83403          Pavarde83403         4.00                 5.70                
Vardas83405          Pavarde83405         4.65                 5.80                
Vardas83407          Pavarde83407         3.35                 4.10                
Vardas8341           Pavarde8341          2.80                 3.50                
Vardas83410          Pavarde83410         4.05                 5.70                
Vardas83411          Pavarde83411         3.60                 4.50                
Vardas83412          Pavarde83412         3.80                 5.10                
Vardas83413          Pavarde83413         5.00                 5.90                
Vardas83414          Pavarde83414         2.95                 3.80                
Vardas83416          Pavarde83416         4.55                 5.00                
Vardas83420          Pavarde83420         4.30                 5.70                
Vardas83425          Pavarde83425         1.95                 2.50                
Vardas83426          Pavarde83426         1.90                 2.50                
Vardas8343           Pavarde8343          2.80                 4.30                
Vardas83430          Pavarde83430         1.90                 2.20                
Vardas83437          Pavarde83437         3.25                 3.90                
Vardas83439          Pavarde83439         4.35                 5.20                
Vardas83444          Pavarde83444         3.00                 4.10                
Vardas83445          Pavarde83445         3.10                 3.60                
Vardas83447          Pavarde83447         3.10                 4.10                
Vardas83448          Pavarde83448         4.45                 5.50                
Vardas83449          Pavarde83449         3.45                 4.40                
Vardas83450          Pavarde83450         3.60                 4.20                
Vardas83452          Pavarde83452         3.75                 4.80                
Vardas83458          Pavarde83458         2.95                 3.50                
Vardas83459          Pavarde83459         3.75                 4.20                
Vardas8346           Pavarde8346          2.95                 4.10                
Vardas83462          Pavarde83462         3.35                 4.40                
Vardas83463          Pavarde83463         5.00                 6.20                
Vardas83471          Pavarde83471         3.65                 3.90                
Vardas83472          Pavarde83472         2.15                 2.80                
Vardas83473          Pavarde83473         4.35                 5.20                
Vardas83474          Pavarde83474         2.00                 2.20                
Vardas83477          Pavarde83477         4.15                 5.40                
Vardas83482          Pavarde83482         2.55                 4.00                
Vardas83484          Pavarde83484         2.55                 3.40                
Vardas83486          Pavarde83486         4.95                 6.40                
Vardas83493          Pavarde83493         4.85                 6.40                
Vardas83494          Pavarde83494         4.50                 5.70                
Vardas83496          Pavarde83496         3.35                 5.00                
Vardas83497          Pavarde83497         4.75                 5.80                
Vardas83498          Pavarde83498         4.20                 4.90                
Vardas835            Pavarde835           2.55                 2.00                
Vardas8350           Pavarde8350          2.45                 3.40                
Vardas83502          Pavarde83502         2.90                 3.50                
Vardas83504          Pavarde83504         4.65                 5.80                
Vardas83507          Pavarde83507         4.85                 5.80                
Vardas83510          Pavarde83510         4.25                 4.30                
Vardas83511          Pavarde83511         2.00                 2.80                
Vardas83513          Pavarde83513         3.80                 5.10                
Vardas83515          Pavarde83515         3.75                 3.90                
Vardas83516          Pavarde83516         4.15                 4.60                
Vardas83520          Pavarde83520         3.95                 5.10                
Vardas83522          Pavarde83522         2.55                 3.70                
Vardas83524          Pavarde83524         4.25                 4.60                
Vardas83527          Pavarde83527         4.10                 5.40                
Vardas83531          Pavarde83531         3.70                 4.20                
Vardas83533          Pavarde83533         3.60                 4.20                
Vardas83539          Pavarde83539         3.60                 4.70                
Vardas83543          Pavarde83543         1.95                 1.90                
Vardas83544          Pavarde83544         4.20                 5.20                
Vardas83547          Pavarde83547         3.65                 4.50                
Vardas83548          Pavarde83548         2.65                 3.20                
Vardas83549          Pavarde83549         4.45                 5.20                
Vardas83550          Pavarde83550         4.35                 5.20                
Vardas83552          Pavarde83552         1.85                 2.20                
Vardas83553          Pavarde83553         4.95                 6.70                
Vardas83565          Pavarde83565         2.10                 2.50                
Vardas83569          Pavarde83569         3.25                 4.20                
Vardas8357           Pavarde8357          4.80                 5.60                
Vardas83571          Pavarde83571         2.75                 3.20                
Vardas83584          Pavarde83584         4.55                 5.80                
Vardas83587          Pavarde83587         2.75                 2.60                
Vardas83588          Pavarde83588         4.40                 4.90                
Vardas83589          Pavarde83589         3.55                 4.50                
Vardas8359           Pavarde8359          2.35                 3.10                
Vardas83590          Pavarde83590         2.15                 2.20                
Vardas83592          Pavarde83592         3.20                 4.40                
Vardas83596          Pavarde83596         3.00                 4.10                
Vardas83597          Pavarde83597         3.10                 4.10                
Vardas836            Pavarde836           2.80                 4.30                
Vardas83600          Pavarde83600         2.10                 2.80                
Vardas83603          Pavarde83603         3.90                 5.10                
Vardas83604          Pavarde83604         4.55                 6.10                
Vardas83605          Pavarde83605         4.25                 4.60                
Vardas83608          Pavarde83608         4.65                 5.80                
Vardas83612          Pavarde83612         3.40                 3.60                
Vardas83614          Pavarde83614         1.85                 2.50                
Vardas83615          Pavarde83615         2.35                 3.40                
Vardas83616          Pavarde83616         3.35                 5.00                
Vardas83617          Pavarde83617         4.40                 5.80                
Vardas83618          Pavarde83618         1.75                 1.90                
Vardas83619          Pavarde83619         4.85                 5.00                
Vardas8362           Pavarde8362          4.55                 5.80                
Vardas83625          Pavarde83625         3.95                 5.40                
Vardas83626          Pavarde83626         3.80                 5.10                
Vardas8363           Pavarde8363          4.25                 5.50                
Vardas83630          Pavarde83630         5.00                 5.90                
Vardas83632          Pavarde83632         4.10                 5.40                
Vardas83635          Pavarde83635         4.50                 5.30                
Vardas83638          Pavarde83638         2.15                 2.80                
Vardas83642          Pavarde83642         3.40                 4.20                
Vardas83644          Pavarde83644         2.90                 4.30                
Vardas83645          Pavarde83645         2.00                 2.50                
Vardas83647          Pavarde83647         4.95                 5.30                
Vardas83648          Pavarde83648         4.30                 5.20                
Vardas8365           Pavarde8365          2.85                 4.60                
Vardas83654          Pavarde83654         4.05                 4.60                
Vardas83655          Pavarde83655         1.85                 2.50                
Vardas83661          Pavarde83661         3.45                 3.90                
Vardas83663          Pavarde83663         3.65                 4.20                
Vardas83665          Pavarde83665         4.95                 5.30                
Vardas83666          Pavarde83666         3.30                 4.40                
Vardas83668          Pavarde83668         3.95                 5.60                
Vardas83670          Pavarde83670         4.05                 4.90                
Vardas83673          Pavarde83673         3.95                 4.30                
Vardas83675          Pavarde83675         2.30                 1.90                
Vardas83678          Pavarde83678         2.75                 3.80                
Vardas8368           Pavarde8368          3.55                 4.20                
Vardas83680          Pavarde83680         3.15                 3.80                
Vardas83681          Pavarde83681         4.25                 4.60                
Vardas83686          Pavarde83686         3.80                 5.10                
Vardas83689          Pavarde83689         3.60                 5.00                
Vardas8369           Pavarde8369          2.65                 4.00                
Vardas83692          Pavarde83692         2.75                 3.70                
Vardas83695          Pavarde83695         3.35                 3.80                
Vardas83696          Pavarde83696         4.75                 4.70                
Vardas83697          Pavarde83697         2.90                 3.50                
Vardas83698          Pavarde83698         3.40                 4.50                
Vardas837            Pavarde837           3.85                 4.80                
Vardas83700          Pavarde83700         3.70                 5.30                
Vardas83701          Pavarde83701         3.10                 4.10                
Vardas83702          Pavarde83702         3.00                 4.10                
Vardas83703          Pavarde83703         3.95                 5.70                
Vardas83709          Pavarde83709         3.60                 4.20                
Vardas83710          Pavarde83710         2.65                 3.70                
Vardas83711          Pavarde83711         2.75                 3.20                
Vardas83714          Pavarde83714         3.65                 4.20                
Vardas83715          Pavarde83715         4.50                 5.00                
Vardas83717          Pavarde83717         3.20                 4.10                
Vardas8372           Pavarde8372          3.30                 3.80                
Vardas83721          Pavarde83721         2.95                 3.50                
Vardas83722          Pavarde83722         4.15                 4.90                
Vardas83723          Pavarde83723         4.45                 5.20                
Vardas83724          Pavarde83724         3.80                 4.50                
Vardas83726          Pavarde83726         2.40                 3.40                
Vardas83728          Pavarde83728         3.90                 4.50                
Vardas83729          Pavarde83729         2.60                 3.40                
Vardas8373           Pavarde8373          4.10                 4.00                
Vardas83730          Pavarde83730         4.70                 5.00                
Vardas83733          Pavarde83733         2.55                 3.20                
Vardas83738          Pavarde83738         5.00                 5.90                
Vardas83740          Pavarde83740         2.20                 2.80                
Vardas83741          Pavarde83741         4.95                 6.10                
Vardas83745          Pavarde83745         4.90                 5.60                
Vardas83749          Pavarde83749         2.90                 2.90                
Vardas83750          Pavarde83750         2.35                 3.40                
Vardas83751          Pavarde83751         3.50                 4.70                
Vardas83754          Pavarde83754         3.70                 4.20                
Vardas83755          Pavarde83755         2.70                 3.20                
Vardas8376           Pavarde8376          4.95                 5.90                
Vardas83761          Pavarde83761         3.75                 5.60                
Vardas83766          Pavarde83766         2.50                 3.40                
Vardas83768          Pavarde83768         4.30                 4.00                
Vardas8377           Pavarde8377          3.45                 5.20                
Vardas83774          Pavarde83774         3.10                 4.10                
Vardas83775          Pavarde83775         4.40                 5.20                
Vardas83779          Pavarde83779         2.25                 3.40                
Vardas8378           Pavarde8378          1.85                 1.90                
Vardas83781          Pavarde83781         4.45                 6.00                
Vardas83782          Pavarde83782         5.00                 5.60                
Vardas83783          Pavarde83783         3.65                 4.50                
Vardas83784          Pavarde83784         4.10                 5.10                
Vardas83788          Pavarde83788         4.90                 6.10                
Vardas8379           Pavarde8379          3.80                 5.10                
Vardas83793          Pavarde83793         3.25                 4.70                
Vardas83799          Pavarde83799         3.15                 3.80                
Vardas83804          Pavarde83804         4.15                 6.00                
Vardas83806          Pavarde83806         2.25                 2.80                
Vardas83808          Pavarde83808         5.00                 5.00                
Vardas83814          Pavarde83814         4.90                 5.60                
Vardas83816          Pavarde83816         3.95                 5.70                
Vardas83818          Pavarde83818         3.30                 4.10                
Vardas83819          Pavarde83819         4.05                 5.70                
Vardas8382           Pavarde8382          3.70                 4.80                
Vardas83821          Pavarde83821         3.50                 4.70                
Vardas83823          Pavarde83823         4.30                 5.70                
Vardas83826          Pavarde83826         4.00                 5.40                
Vardas83827          Pavarde83827         3.20                 4.10                
Vardas83828          Pavarde83828         4.55                 5.50                
Vardas83830          Pavarde83830         4.15                 4.00                
Vardas83834          Pavarde83834         4.95                 6.70                
Vardas83835          Pavarde83835         3.50                 3.90                
Vardas83836          Pavarde83836         4.45                 5.50                
Vardas83842          Pavarde83842         3.90                 4.50                
Vardas83844          Pavarde83844         4.55                 5.50                
Vardas83847          Pavarde83847         3.85                 4.50                
Vardas8385           Pavarde8385          2.50                 4.00                
Vardas83852          Pavarde83852         4.50                 4.90                
Vardas83856          Pavarde83856         2.35                 3.10                
Vardas83857          Pavarde83857         2.85                 3.20                
Vardas83859          Pavarde83859         3.10                 4.10                
Vardas8386           Pavarde8386          4.20                 5.70                
Vardas83862          Pavarde83862         4.75                 6.10                
Vardas83865          Pavarde83865         2.85                 3.80                
Vardas83868          Pavarde83868         4.00                 4.80                
Vardas83873          Pavarde83873         4.55                 5.80                
Vardas83874          Pavarde83874         4.10                 5.70                
Vardas83877          Pavarde83877         3.55                 3.90                
Vardas83878          Pavarde83878         3.80                 5.10                
Vardas83884          Pavarde83884         3.00                 3.50                
Vardas83886          Pavarde83886         3.70                 4.80                
Vardas83887          Pavarde83887         2.75                 4.30                
Vardas83888          Pavarde83888         1.75                 1.90                
Vardas83889          Pavarde83889         4.20                 4.90                
Vardas8389           Pavarde8389          2.70                 3.70                
Vardas83891          Pavarde83891         4.25                 5.40                
Vardas83892          Pavarde83892         2.45                 2.80                
Vardas83894          Pavarde83894         2.70                 2.60                
Vardas83895          Pavarde83895         1.80                 1.60                
Vardas83897          Pavarde83897         2.45                 3.40                
Vardas8390           Pavarde8390          1.70                 1.30                
Vardas83902          Pavarde83902         4.10                 5.10                
Vardas83903          Pavarde83903         5.00                 5.90                
Vardas83906          Pavarde83906         3.95                 4.80                
Vardas83907          Pavarde83907         4.05                 5.40                
Vardas83908          Pavarde83908         3.40                 3.90                
Vardas83909          Pavarde83909         3.35                 4.70                
Vardas8391           Pavarde8391          2.65                 3.50                
Vardas83910          Pavarde83910         3.00                 3.30                
Vardas83911          Pavarde83911         3.00                 4.10                
Vardas83917          Pavarde83917         4.70                 5.80                
Vardas8392           Pavarde8392          3.10                 3.80                
Vardas83925          Pavarde83925         4.15                 5.40                
Vardas83928          Pavarde83928         3.95                 5.10                
Vardas83929          Pavarde83929         3.50                 4.20                
Vardas83934          Pavarde83934         4.55                 5.20                
Vardas83936          Pavarde83936         4.75                 5.50                
Vardas83937          Pavarde83937         2.60                 3.70                
Vardas83938          Pavarde83938         4.85                 5.80                
Vardas83939          Pavarde83939         3.15                 4.10                
Vardas8394           Pavarde8394          2.55                 3.70                
Vardas83940          Pavarde83940         3.25                 4.70                
Vardas83941          Pavarde83941         2.80                 4.00                
Vardas83942          Pavarde83942         4.80                 5.80                
Vardas83943          Pavarde83943         3.35                 4.40                
Vardas83945          Pavarde83945         3.95                 5.40                
Vardas83946          Pavarde83946         4.40                 5.50                
Vardas83947          Pavarde83947         4.10                 4.30                
Vardas83948          Pavarde83948         4.40                 6.00                
Vardas8395           Pavarde8395          4.35                 5.50                
Vardas83954          Pavarde83954         4.55                 5.20                
Vardas83957          Pavarde83957         4.95                 5.90                
Vardas83958          Pavarde83958         3.75                 4.80                
Vardas83959          Pavarde83959         2.30                 3.10                
Vardas8396           Pavarde8396          2.45                 3.40                
Vardas83960          Pavarde83960         2.80                 4.30                
Vardas83962          Pavarde83962         4.00                 5.40                
Vardas83963          Pavarde83963         4.50                 5.80                
Vardas83966          Pavarde83966         4.85                 5.90                
Vardas8397           Pavarde8397          2.60                 3.20                
Vardas83970          Pavarde83970         2.45                 4.00                
Vardas83971          Pavarde83971         4.20                 5.70                
Vardas83972          Pavarde83972         4.15                 4.90                
Vardas83974          Pavarde83974         3.45                 5.30                
Vardas83976          Pavarde83976         1.95                 2.20                
Vardas83977          Pavarde83977         3.05                 3.50                
Vardas8398           Pavarde8398          3.80                 4.60                
Vardas83981          Pavarde83981         4.25                 5.40                
Vardas83985          Pavarde83985         2.55                 3.20                
Vardas83986          Pavarde83986         4.55                 5.20                
Vardas83987          Pavarde83987         4.80                 5.60                
Vardas83989          Pavarde83989         2.80                 3.20                
Vardas8399           Pavarde8399          2.60                 3.10                
Vardas83991          Pavarde83991         2.45                 3.70                
Vardas83992          Pavarde83992         4.90                 6.40                
Vardas83995          Pavarde83995         4.90                 5.00                
Vardas83996          Pavarde83996         4.65                 6.10                
Vardas83998          Pavarde83998         4.50                 5.80                
Vardas83999          Pavarde83999         2.95                 3.80                
Vardas84003          Pavarde84003         3.00                 3.20                
Vardas84004          Pavarde84004         3.45                 4.40                
Vardas84006          Pavarde84006         2.45                 3.70                
Vardas84008          Pavarde84008         4.70                 5.50                
Vardas84011          Pavarde84011         4.15                 4.60                
Vardas84013          Pavarde84013         2.90                 3.00                
Vardas84016          Pavarde84016         3.55                 3.90                
Vardas84018          Pavarde84018         2.65                 4.60                
Vardas84020          Pavarde84020         4.05                 4.00                
Vardas84024          Pavarde84024         4.50                 5.20                
Vardas84025          Pavarde84025         3.70                 4.20                
Vardas8403           Pavarde8403          3.30                 4.10                
Vardas84033          Pavarde84033         3.25                 4.10                
Vardas84034          Pavarde84034         2.00                 2.50                
Vardas84039          Pavarde84039         2.40                 2.60                
Vardas8404           Pavarde8404          2.50                 3.70                
Vardas84041          Pavarde84041         3.25                 3.60                
Vardas84042          Pavarde84042         2.95                 3.50                
Vardas84043          Pavarde84043         3.50                 4.50                
Vardas84044          Pavarde84044         2.10                 2.20                
Vardas84045          Pavarde84045         3.50                 3.90                
Vardas84051          Pavarde84051         3.60                 4.20                
Vardas84056          Pavarde84056         4.55                 5.80                
Vardas84057          Pavarde84057         4.20                 4.90                
Vardas8406           Pavarde8406          4.15                 5.10                
Vardas84060          Pavarde84060         2.55                 3.10                
Vardas84064          Pavarde84064         3.15                 3.50                
Vardas84065          Pavarde84065         3.85                 4.60                
Vardas84066          Pavarde84066         2.30                 3.70                
Vardas84069          Pavarde84069         2.95                 3.80                
Vardas8407           Pavarde8407          4.60                 5.50                
Vardas84075          Pavarde84075         3.75                 4.50                
Vardas84077          Pavarde84077         3.70                 3.70                
Vardas84079          Pavarde84079         1.70                 2.20                
Vardas84080          Pavarde84080         4.85                 5.30                
Vardas84081          Pavarde84081         2.50                 2.60                
Vardas84082          Pavarde84082         3.15                 3.80                
Vardas84084          Pavarde84084         3.45                 5.00                
Vardas84085          Pavarde84085         1.95                 2.50                
Vardas84086          Pavarde84086         2.65                 3.70                
Vardas84089          Pavarde84089         3.85                 5.40                
Vardas84092          Pavarde84092         3.90                 5.40                
Vardas84095          Pavarde84095         2.00                 2.80                
Vardas84097          Pavarde84097         5.00                 5.60                
Vardas84098          Pavarde84098         3.70                 4.30                
Vardas841            Pavarde841           3.60                 5.60                
Vardas8410           Pavarde8410          3.85                 5.10                
Vardas84103          Pavarde84103         3.50                 4.20                
Vardas84104          Pavarde84104         4.40                 5.20                
Vardas84108          Pavarde84108         4.10                 5.10                
Vardas8411           Pavarde8411          3.40                 4.40                
Vardas84110          Pavarde84110         2.80                 3.70                
Vardas84114          Pavarde84114         4.40                 4.40                
Vardas84115          Pavarde84115         4.50                 5.80                
Vardas84120          Pavarde84120         2.65                 3.70                
Vardas84123          Pavarde84123         3.65                 4.20                
Vardas84126          Pavarde84126         4.20                 5.10                
Vardas84127          Pavarde84127         3.50                 3.90                
Vardas84129          Pavarde84129         4.50                 5.80                
Vardas84131          Pavarde84131         4.55                 5.50                
Vardas84132          Pavarde84132         4.25                 5.70                
Vardas84134          Pavarde84134         1.55                 1.60                
Vardas84135          Pavarde84135         4.95                 5.60                
Vardas84136          Pavarde84136         2.00                 2.20                
Vardas84137          Pavarde84137         2.30                 2.60                
Vardas84138          Pavarde84138         2.65                 4.30                
Vardas84139          Pavarde84139         3.95                 4.30                
Vardas84144          Pavarde84144         3.50                 3.60                
Vardas84147          Pavarde84147         4.30                 4.90                
Vardas84150          Pavarde84150         1.85                 2.50                
Vardas84153          Pavarde84153         3.45                 5.00                
Vardas84154          Pavarde84154         3.50                 3.60                
Vardas84158          Pavarde84158         5.00                 5.40                
Vardas84159          Pavarde84159         1.95                 2.20                
Vardas84161          Pavarde84161         2.60                 2.90                
Vardas84162          Pavarde84162         3.85                 5.40                
Vardas84164          Pavarde84164         3.95                 5.10                
Vardas84167          Pavarde84167         3.90                 4.80                
Vardas84168          Pavarde84168         4.65                 4.40                
